run_stem,split_mode,split_name,backbone,seed,inference_mean_ms_per_image,inference_std_ms_per_image
meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,MobileNetV2,42,89.65979200016591,3.782589063923156
meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,MobileNetV2,123,92.20208999933676,6.88760897436856
meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,MobileNetV2,2026,88.12732000049436,3.230344959159184
meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,MobileNetV3Small,42,72.38886200007983,6.175691690408099
meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,MobileNetV3Small,123,66.98520400066627,2.1146065217900047
meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,MobileNetV3Small,2026,74.87985199899413,3.451646386526443
meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,ResNet50,42,117.0121939999808,12.546565651105755
meatlens_resnet50_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,ResNet50,123,118.66721999962463,3.069362033727046
meatlens_resnet50_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,ResNet50,2026,113.8195120000455,19.47776529918292
meatlens_mobilenetv3small_cross_rotation_fold2_seed42_cnn_only,cross_rotation,fold2,MobileNetV3Small,42,74.44732399933855,2.473812981157761
meatlens_mobilenetv3small_cross_rotation_fold2_seed123_cnn_only,cross_rotation,fold2,MobileNetV3Small,123,74.80408000061288,3.129398666518587
meatlens_mobilenetv3small_cross_rotation_fold2_seed2026_cnn_only,cross_rotation,fold2,MobileNetV3Small,2026,75.41984200041043,3.0340381385777606
meatlens_resnet50_cross_rotation_fold2_seed42_cnn_only,cross_rotation,fold2,ResNet50,42,74.95189399967785,12.547143413686348
meatlens_resnet50_cross_rotation_fold2_seed123_cnn_only,cross_rotation,fold2,ResNet50,123,106.1615580000216,24.55958697982396
meatlens_resnet50_cross_rotation_fold2_seed2026_cnn_only,cross_rotation,fold2,ResNet50,2026,89.34936999896308,28.50557830332848
meatlens_mobilenetv3small_cross_rotation_fold3_seed42_cnn_only,cross_rotation,fold3,MobileNetV3Small,42,74.37606999985292,4.489778994338871
meatlens_mobilenetv3small_cross_rotation_fold3_seed123_cnn_only,cross_rotation,fold3,MobileNetV3Small,123,77.12909799993213,3.496165487804744
meatlens_mobilenetv3small_cross_rotation_fold3_seed2026_cnn_only,cross_rotation,fold3,MobileNetV3Small,2026,72.95066799990309,6.670184404069582
meatlens_mobilenetv3small_cross_rotation_fold4_seed42_cnn_only,cross_rotation,fold4,MobileNetV3Small,42,70.02434200017888,2.9000149041161505
meatlens_mobilenetv3small_cross_rotation_fold4_seed123_cnn_only,cross_rotation,fold4,MobileNetV3Small,123,73.29048000006878,4.423582850368185
meatlens_mobilenetv3small_cross_rotation_fold4_seed2026_cnn_only,cross_rotation,fold4,MobileNetV3Small,2026,96.3508699999511,171.88257834771042
